table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,encoder_bottleneck_deepest,4,0.008258921443484724,,0.0,,,,,
final,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,,4,,,,0.0003304557358205784,0.0011371608197805472,4.400396136566997,0.9498068665585341,0.9064765245522939
encoder,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,encoder_stage_2,4,0.016936578787863255,0.19013295322656631,0.3254878893494606,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,encoder_stage_3,4,0.012077419552952051,0.12117613665759563,0.16999436542391777,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,encoder_stage_4,4,0.011863564141094685,0.039033728651702404,0.11631751619279385,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,encoder_stage_5,4,0.010582155315205455,0.005771389929577708,0.06566355936229229,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,encoder_bottleneck_deepest,4,0.008497117785736918,-0.02471695840358734,0.14822978526353836,,,,,
final,case,HCC_10020116_20180118.nii.gz,gamma,correct_action_wp,,4,,,,0.00033267577236983925,0.0011378589042578824,4.37354507856071,0.9477413168419369,0.9031966911597648
encoder,case,HCC_10020116_20180118.nii.gz,gamma,wrong_action_wp,encoder_stage_2,4,0.09930987842381,-0.0289715186227113,2.158757746219635,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,wrong_action_wp,encoder_stage_3,4,0.03278782544657588,-0.05326053500175476,1.2528508603572845,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,wrong_action_wp,encoder_stage_4,4,0.019047598354518414,-0.06932966317981482,0.7173406481742859,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,wrong_action_wp,encoder_stage_5,4,0.01689756545238197,-0.03158969013020396,0.7485581040382385,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,wrong_action_wp,encoder_bottleneck_deepest,4,0.008497117785736918,-0.02471695840358734,0.14822978526353836,,,,,
