level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
case,CYST_PA62.nii.gz,visual_only,pairwise_abs,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.691180838519955,0.27731004227789546,True
case,CYST_PA62.nii.gz,visual_only,pairwise_abs,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8988312990652756,0.2677119197750479,True
case,HEM_PA29.nii.gz,language_only,mean_probability,all_voxels,28311552,339056,0.011975888852719907,0.011975888852719907,0.9334933891789239,0.1389123181721572,False
case,HEM_PA29.nii.gz,language_only,mean_probability,foreground_union,876145,339056,0.38698617238014255,0.38698617238014255,0.12387172265033927,0.23714357354129445,True
case,HEM_PA29.nii.gz,language_only,mean_probability,predicted_positive,571865,34776,0.0608115551747353,0.0608115551747353,0.4672696425814199,0.05616140806450657,True
case,HEM_PA29.nii.gz,language_only,mean_probability,predicted_negative,20661799,304280,0.01472669441804172,0.01472669441804172,0.9261766295472452,0.3282723953945682,True
case,HEM_PA29.nii.gz,language_only,variance,all_voxels,28311552,339056,0.011975888852719907,0.011975888852719907,0.9379079543927377,0.19971783624564007,False
case,HEM_PA29.nii.gz,language_only,variance,foreground_union,876145,339056,0.38698617238014255,0.38698617238014255,0.3821800175338711,0.3314071763146928,True
case,HEM_PA29.nii.gz,language_only,variance,predicted_positive,571865,34776,0.0608115551747353,0.0608115551747353,0.5334123957304842,0.06550023639362773,True
case,HEM_PA29.nii.gz,language_only,variance,predicted_negative,20661799,304280,0.01472669441804172,0.01472669441804172,0.9274600128769751,0.35145546152700535,True
case,HEM_PA29.nii.gz,language_only,std,all_voxels,28311552,339056,0.011975888852719907,0.011975888852719907,0.9379079543927377,0.19971783624564007,False
